date,rank,username,viewer_count
2021-01-01,1,xQc,57755
2021-01-01,2,tarik,56016
2021-01-01,3,HasanAbi,30563
2021-01-01,4,NICKMERCS,29049
2021-01-01,5,TSM_ImperialHal,24928
2021-01-01,6,Philza,21431
2021-01-01,7,NiceWigg,20851
2021-01-01,8,zackrawrr,20356
2021-01-01,9,Emiru,19998
2021-01-01,10,VALORANT_Americas,19729
2021-01-01,11,playapex,18288
2021-01-01,12,Jynxzi,13999
2021-01-01,13,PENTA,13310
2021-01-01,14,MOONMOON,13116
2021-01-01,15,CDawgVA,12912
2021-01-01,16,Clix,12185
2021-01-01,17,summit1g,11875
2021-01-01,18,shroud,11280
2021-01-01,19,Foolish_Gamers,10744
2021-01-01,20,Flight23white,9402
2021-01-01,21,LVNDMARK,9139
2021-01-01,22,Grubby,7028
2021-01-01,23,Shotzzy,7023
2021-01-01,24,Agent00,5959
2021-01-01,25,Tectone,5725
2021-01-01,26,AMOURANTH,5716
2021-01-01,27,watchmeblink,5377
2021-01-01,28,koil,5152
2021-01-01,29,The_Happy_Hob,5108
2021-01-01,30,BrawlStars,5106
2021-01-01,31,Dkayed,4911
2021-01-01,32,GothamChess,4621
2021-01-01,33,vedal987,4535
2021-01-01,34,TeamfightTactics,4517
2021-01-01,35,fl0m,4114
2021-01-01,36,A_Seagull,4072
2021-01-01,37,erobb221,4024
2021-01-01,38,Cohh,4003
2021-01-01,39,alpharad,3984
2021-01-01,40,Mathil1,3862
2021-01-01,41,HisWattson,3848
2021-01-01,42,LVTHalo,3839
2021-01-01,43,HusKerrs,3771
2021-01-01,44,reneesrealm,3636
2021-01-01,45,Ray,3547
2021-01-01,46,zwebackhd,3531
2021-01-01,47,iateyourpie,3457
2021-01-01,48,RaiseYourEdge,3442
2021-01-01,49,AmazonMusic,3426
2021-01-01,50,Pieface23,3112
2021-01-01,51,setsukotft,3104
2021-01-01,52,Bawkbasoup,3098
2021-01-01,53,solarbacca,2992
2021-01-01,54,RealzBlueWater,2888
2021-01-01,55,CoconutB,2858
2021-01-01,56,itsBenAndKaren,2786
2021-01-01,57,SypherPK,2778
2021-01-01,58,RetalsRL,2693
